,Source,Target,Weight,Type
1,A_Midsummer_Nights_Dream,shakespeare-as-12,2,undirected
2,A_Midsummer_Nights_Dream,shakespeare-lovers-62,1,undirected
3,A_Midsummer_Nights_Dream,shakespeare-loves-8,4,undirected
4,A_Midsummer_Nights_Dream,shakespeare-merchant-5,4,undirected
5,shakespeare-alls-11,shakespeare-as-12,4,undirected
6,shakespeare-alls-11,shakespeare-comedy-7,1,undirected
7,shakespeare-alls-11,shakespeare-lovers-62,2,undirected
8,shakespeare-alls-11,shakespeare-loves-8,2,undirected
9,shakespeare-alls-11,shakespeare-merchant-5,5,undirected
10,shakespeare-as-12,A_Midsummer_Nights_Dream,2,undirected
11,shakespeare-as-12,shakespeare-alls-11,4,undirected
12,shakespeare-as-12,shakespeare-comedy-7,2,undirected
13,shakespeare-as-12,shakespeare-merchant-5,6,undirected
14,shakespeare-comedy-7,shakespeare-alls-11,1,undirected
15,shakespeare-comedy-7,shakespeare-as-12,2,undirected
16,shakespeare-comedy-7,shakespeare-merchant-5,3,undirected
17,shakespeare-lovers-62,A_Midsummer_Nights_Dream,1,undirected
18,shakespeare-lovers-62,shakespeare-alls-11,2,undirected
19,shakespeare-lovers-62,shakespeare-loves-8,3,undirected
20,shakespeare-loves-8,A_Midsummer_Nights_Dream,4,undirected
21,shakespeare-loves-8,shakespeare-alls-11,2,undirected
22,shakespeare-loves-8,shakespeare-lovers-62,3,undirected
23,shakespeare-loves-8,shakespeare-merchant-5,3,undirected
24,shakespeare-merchant-5,A_Midsummer_Nights_Dream,4,undirected
25,shakespeare-merchant-5,shakespeare-alls-11,5,undirected
26,shakespeare-merchant-5,shakespeare-as-12,6,undirected
27,shakespeare-merchant-5,shakespeare-comedy-7,3,undirected
28,shakespeare-merchant-5,shakespeare-loves-8,3,undirected
