"A_Midsummer_Nights_Dream" "fallushr" "shakespeare-alls-11" "shakespeare-as-12" "shakespeare-comedy-7" "shakespeare-loves-8" "shakespeare-merchant-5" "shakespeare-merry-15" "shakespeare-midsummer-16" "shakespeare-much-3"
"the" 3.28770328770329 7.85881704122432 2.99157474866702 3.03517850154368 2.79243893457714 3.73263888888889 3.84254081860881 2.6533439691003 3.28477743601648 2.56795580110497
"and" 3.35205335205335 3.36412518957673 2.53164556962025 3.00908814193156 2.83539953357064 2.54340277777778 2.74211585774994 2.63655065284017 3.34281237304858 2.78011049723757
"i" 2.5974025974026 2.31628291741348 2.91017135414547 2.94386224290125 2.89063458941942 2.16145833333333 2.95235965108477 3.33767160670053 2.58255469792815 3.08508287292818
"of" 1.56195156195156 5.83206948848752 1.90076926207823 1.8698091055355 3.79894439671045 1.90972222222222 2.14717065533438 1.78009152357362 1.57855028727294 1.61325966850829
"to" 1.93050193050193 1.65448779815249 2.12869876673857 2.02200286993956 2.08052043697066 2.03559027777778 2.06665175575934 1.79688483983375 1.93836689687192 1.90497237569061
"a" 1.54440154440154 2.19219633255205 1.86413773454353 2.00026090359612 1.55271879219345 2.17881944444444 2.01744576157459 1.93962802804484 1.62497823689861 2.17016574585635
"you" 1.60875160875161 0.124086584861437 1.96996214742155 2.36117754489716 1.85958021357555 1.47569444444444 1.97271303958846 2.24610604979218 1.59596076838257 2.17458563535912
"in" 1.39230139230139 1.98538535778299 1.22512108754935 1.38278905944254 1.36246471093654 1.41059027777778 1.35092820398121 1.22591208698938 1.39864198247345 1.37900552486188
"my" 1.17585117585118 0.74451950916862 1.5425943261834 1.11753707005262 1.62636553332515 1.015625 1.62379780809662 1.25949871950964 1.16650223434508 1.24198895027624
"that" 1.08810108810109 1.11677926375293 1.42862957385323 1.49149889115972 1.33177856879833 1.23697916666667 1.14963095504361 0.856459129266552 1.07944982879694 1.29060773480663
"is" 1.12320112320112 0.110299186543499 1.12743701412349 1.24364047484454 0.871486436725175 1.31944444444444 1.17647058823529 1.37705193333053 1.11427079101619 1.33922651933702
"me" 1.05300105300105 0.592858127671308 0.822174284667671 1.01317563160412 1.62022830489751 0.655381944444444 1.17199731603668 0.982409001217515 1.04462886657768 0.967955801104972
"not" 0.994500994500994 0.648007720943058 1.02161260124547 1.09579510370918 1.02491714741623 0.9375 0.97964661149631 0.85226080020152 0.986593929545586 1.10497237569061
"it" 0.778050778050778 0.785881704122432 1.13964752330172 0.982736878723312 0.969682091567448 1.015625 1.0422724222769 0.839665813006423 0.77766815623005 1.13149171270718
"for" 0.842400842400842 0.730732110850682 0.814033945215516 0.908814193155629 1.03719160427151 1.03298611111111 1.00648624468799 0.717914270120492 0.835703093262144 0.976795580110497
"with" 1.02375102375102 0.827243899076244 0.663437665350645 0.865330260468757 0.834663066159322 0.716145833333333 0.858868262133751 0.806079180486167 1.03302187917126 0.883977900552486
"he" 0.526500526500526 0.74451950916862 0.948349546176076 0.934904552767752 0.920584264146312 0.520833333333333 0.787295906955938 0.944624039632226 0.52231443328884 0.883977900552486
"your" 0.71955071955072 0.0275747966358748 0.891367170010989 0.843588294125321 0.718055726034123 0.716145833333333 0.782822634757325 0.869054116461648 0.713829725494748 0.804419889502762
"be" 0.62010062010062 0.289535364676686 0.801823436037283 0.821846327781885 0.521664416349576 0.620659722222222 0.845448445537911 0.885847432721777 0.615170332540189 0.804419889502762
"but" 0.707850707850708 0.523921136081621 0.765191908502585 0.847936687394008 0.699644040751197 0.703125 0.809662267949005 0.51639447499895 0.702222738088329 0.764640883977901
"will" 0.69030069030069 0.110299186543499 0.63901664699418 0.713136496064704 0.558487786915429 0.763888888888889 0.590471930216954 0.911037407111969 0.684812256978701 0.879558011049724
"this" 0.865800865800866 0.551495932717496 0.704139362611421 0.70443970952733 0.718055726034123 0.681423611111111 0.65309774099754 0.549981107519207 0.858917068074981 0.662983425414365
"his" 0.520650520650521 1.22707845029643 0.948349546176076 0.726181675870766 0.625997299619492 0.672743055555556 0.715723551778126 0.587766069104496 0.516510939585631 0.552486187845304
"have" 0.579150579150579 0.399834551220185 0.797753266311205 0.73487846240814 0.540076101632503 0.546875 0.724670096175352 0.864855787396616 0.574545876617724 0.729281767955801
"as" 0.684450684450684 0.827243899076244 0.500630876307542 0.808801147975823 0.337547563520314 0.638020833333333 0.630731380004473 0.596162727234561 0.679008763275492 0.632044198895028
"her" 0.579150579150579 0.330897559630498 0.720420041515731 0.465278079749533 0.44188044679023 0.412326388888889 0.29970923730709 0.747302573575717 0.574545876617724 0.990055248618785
"so" 0.672750672750673 0.37225975458431 0.630876307542025 0.591381484541462 0.448017675217872 0.646701388888889 0.527846119436368 0.41563457743818 0.667401775869073 0.609944751381216
"him" 0.298350298350298 0.289535364676686 0.728560380967886 0.669652563377832 0.662820670185344 0.243055555555556 0.492059941847461 0.671732650405139 0.295978178863676 0.583425414364641
"thou" 0.678600678600679 0 0.40294680288168 0.617471844153585 0.822388609304038 0.403645833333333 0.465220308655782 0.268693060162056 0.673205269572283 0.380110497237569
"no" 0.503100503100503 0.413621949538122 0.423297651512068 0.613123450884898 0.362096477230883 0.394965277777778 0.416014314471036 0.373651286787858 0.499100458476003 0.574585635359116
